CHEBI term,name,definition
CHEBI:24636,proton,"Nuclear particle of charge number +1, spin 1/2 and rest mass of 1.007276470(12) u."
CHEBI:29108,calcium(2+),A calcium cation that has formula Ca.
CHEBI:29103,potassium(1+),A monoatomic monocation obtained from potassium.
CHEBI:17996,chloride,A halide anion formed when chlorine picks up an electron to form an an anion.
CHEBI:29101,sodium(1+),A monoatomic monocation obtained from sodium.
CHEBI:16189,sulfate,A sulfur oxoanion obtained by deprotonation of both OH groups of sulfuric acid.
CHEBI:29105,zinc(2+),A zinc cation that has formula Zn.
CHEBI:28938,ammonium,An onium cation obtained by protonation of ammonia.
CHEBI:17632,nitrate,A nitrogen oxoanion formed by loss of a proton from nitric acid. Principal species present at pH 7.3.
CHEBI:29033,iron(2+),An iron cation that has formula Fe.
CHEBI:35780,phosphate ion,A phosphorus oxoanion that is the conjugate base of phosphoric acid.

